Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,MarketOpen-Closing TimeOfDay,MinimumVolume,Commission,DukasSymbol,Leverage,Lotsize,Base,Quote,Country,Group,Description
BNP.FR_EUR,58.698,0.048,0,0,0.01,0,0,Europe/Paris:09.00-17.30,1,0,BNPFREUR,10,1,BNP.FR,EUR, FR, STK_CASH, BNP Paribas SA
COST.US_USD,964.257,0.746,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,COSTUSUSD,10,1,COST.US,USD, US, STK_CASH, COSTCO WHOLESALE CORP
LKQ.US_USD,36.988,0.024,0,0,0.01,0,0,unknown,1,0,LKQUSUSD,10,1,LKQ.US,USD, US, STK_CASH, LKQ CORP
HBI.US_USD,8.199,0.012,0,0,0.01,0,0,unknown,1,0,HBIUSUSD,10,1,HBI.US,USD, US, STK_CASH, HANESBRANDS INC
JUVE.IT_EUR,3.089,0.01,0,0,0.01,0,0,unknown,1,0,JUVEITEUR,10,1,JUVE.IT,EUR, IT, STK_CASH, Juventus Football Club Spa
ERG.IT_EUR,20.039,0.042,0,0,0.01,0,0,unknown,1,0,ERGITEUR,10,1,ERG.IT,EUR, IT, STK_CASH, ERG Spa
QRVO.US_USD,68.315,0.36,0,0,0.01,0,0,unknown,1,0,QRVOUSUSD,10,1,QRVO.US,USD, US, STK_CASH, QORVO INC
ETN.US_USD,335.002,0.316,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,ETNUSUSD,10,1,ETN.US,USD, US, STK_CASH, EATON CORP PLC
EBR.ES_EUR,15.815,0.17,0,0,0.01,0,0,unknown,1,0,EBRESEUR,10,1,EBR.ES,EUR, ES, STK_CASH, Ebro Foods SA
EHC.US_USD,94.233,0.154,0,0,0.01,0,0,unknown,1,0,EHCUSUSD,10,1,EHC.US,USD, US, STK_CASH, ENCOMPASS HEALTH CORP
EXPE.US_USD,176.116,0.198,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,EXPEUSUSD,10,1,EXPE.US,USD, US, STK_CASH, EXPEDIA INC
ORBIA.MX_MXN,15.513,0.084,0,0,0.01,0,0,unknown,500,0,ORBIAMXMXN,5,1,ORBIA.MX,MXN, MX, STK_CASH, Orbia Advance Corp SAB DE CV
DPZ.US_USD,428.929,2.152,0,0,0.01,0,0,unknown,1,0,DPZUSUSD,10,1,DPZ.US,USD, US, STK_CASH, DOMINO'S PIZZA INC
CDNS.US_USD,300.248,1.044,0,0,0.01,0,0,unknown,1,0,CDNSUSUSD,10,1,CDNS.US,USD, US, STK_CASH, CADENCE DESIGN SYS INC
ARW.US_USD,115.177,0.806,0,0,0.01,0,0,unknown,1,0,ARWUSUSD,10,1,ARW.US,USD, US, STK_CASH, ARROW ELECTRONICS INC
SNPS.US_USD,494.172,0.806,0,0,0.01,0,0,unknown,1,0,SNPSUSUSD,10,1,SNPS.US,USD, US, STK_CASH, SYNOPSYS INC
