Name,Price,spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Market,Multiplier,commission,symbol,leverage,Lotsize,Base,Quote
EURHUF,384.157,0.4103,-4.21000,0.53000,0.010,2.60032712,200.00,UTC:21:01-20:59,1000.00000000,0.00,EURHUF,500,100000.00,EUR,HUF
USDPLN,3.91595,0.002397,-2.32000,-1.74000,0.00010,2.35072320,184.28,UTC:21:01-20:59,1000.00000000,0.00,USDPLN,500,100000.00,USD,PLN
USDDKK,6.87091,0.003512,0.89000,-5.05000,0.00010,1.33984139,184.28,UTC:21:01-20:59,1000.00000000,0.00,USDDKK,500,100000.00,USD,DKK
GBPNOK,13.42368,0.005102,-1.01000,-6.51000,0.00010,0.87469167,234.91,UTC:21:01-20:59,1000.00000000,0.00,GBPNOK,500,100000.00,GBP,NOK
CHFSGD,1.47607,0.000274,-1.43000,0.40000,0.00010,6.82696378,201.53,UTC:21:01-20:59,1000.00000000,0.00,CHFSGD,500,100000.00,CHF,SGD
EURCZK,24.73117,0.009035,-18.22000,-3.44000,0.00010,0.40419996,200.00,UTC:05:01-20:59,1000.00000000,0.00,EURCZK,500,100000.00,EUR,CZK
EURPLN,4.25181,0.002200,-3.09000,0.54000,0.00010,2.35072320,200.00,UTC:21:01-20:59,1000.00000000,0.00,EURPLN,500,100000.00,EUR,PLN
EURSGD,1.46452,0.000273,-0.35000,-0.61000,0.00010,6.82696378,200.00,UTC:21:01-20:59,1000.00000000,0.00,EURSGD,500,100000.00,EUR,SGD
EURTRY,34.93860,0.039988,-352.52000,216.71000,0.00010,0.28588304,10000.00,UTC:21:01-20:59,1000.00000000,0.00,EURTRY,10,100000.00,EUR,TRY
EURZAR,19.94521,0.005507,-40.19000,0.77000,0.00010,0.50121444,200.00,UTC:21:01-20:59,1000.00000000,0.00,EURZAR,500,100000.00,EUR,ZAR
GBPDKK,8.76178,0.004487,0.71000,-7.12000,0.00010,1.33984139,234.91,UTC:21:01-20:59,1000.00000000,0.00,GBPDKK,500,100000.00,GBP,DKK
GBPSEK,13.55620,0.004706,2.18000,-9.66000,0.00010,0.86615933,234.91,UTC:21:01-20:59,1000.00000000,0.00,GBPSEK,500,100000.00,GBP,SEK
GBPTRY,41.01720,0.079282,-302.73000,244.26000,0.00010,0.28588304,11745.50,UTC:21:01-20:59,1000.00000000,0.00,GBPTRY,10,100000.00,GBP,TRY
NOKJPY,14.884,0.0315,0.07000,-0.23000,0.010,5.87102532,17.48,UTC:21:01-20:59,1000.00000000,0.00,NOKJPY,500,100000.00,NOK,JPY
NOKSEK,1.00926,0.001181,-0.06000,-0.55000,0.00010,0.86615933,17.48,UTC:21:01-20:59,1000.00000000,0.00,NOKSEK,500,100000.00,NOK,SEK
SEKJPY,14.718,0.0734,0.05000,-0.19000,0.010,5.87102532,17.31,UTC:21:01-20:59,1000.00000000,0.00,SEKJPY,500,100000.00,SEK,JPY
SGDJPY,116.276,0.0247,0.71000,-1.55000,0.010,5.87102532,136.56,UTC:21:01-20:59,1000.00000000,0.00,SGDJPY,500,100000.00,SGD,JPY
USDCZK,22.77955,0.006815,-7.54000,-9.80000,0.00010,0.40419996,184.28,UTC:05:01-20:59,1000.00000000,0.00,USDCZK,500,100000.00,USD,CZK
USDTRY,32.16938,0.020039,-296.06000,170.59000,0.00010,0.28588304,9214.04,UTC:21:01-20:59,1000.00000000,0.00,USDTRY,10,100000.00,USD,TRY
USDZAR,18.36947,0.004363,-30.02000,-2.24000,0.00010,0.50121444,184.28,UTC:21:01-20:59,1000.00000000,0.00,USDZAR,500,100000.00,USD,ZAR
EURMXN,18.10616,0.006264,-46.72000,15.95000,0.00010,0.55210307,200.00,UTC:21:01-20:59,1000.00000000,0.00,EURMXN,500,100000.00,EUR,MXN
USDHUF,353.833,0.3679,-2.48000,-0.87000,0.010,2.60032712,184.28,UTC:21:01-20:59,1000.00000000,0.00,USDHUF,500,100000.00,USD,HUF
USDCNH,7.25504,0.000662,2.25000,-8.35000,0.00010,1.26935609,184.28,UTC:21:01-20:59,1000.00000000,0.00,USDCNH,500,100000.00,USD,CNH
USDTHB,36.61062,0.025230,-98.04000,1.96000,0.00010,0.25139548,184.28,UTC:21:01-20:59,1000.00000000,0.00,USDTHB,500,100000.00,USD,THB
ZARJPY,8.526,0.0220,0.09000,-0.26000,0.010,5.87102532,10.00,UTC:21:01-20:59,1000.00000000,0.00,ZARJPY,500,100000.00,ZAR,JPY
GBPMXN,21.26372,0.010030,-47.78000,11.61000,0.00010,0.55210307,234.90,UTC:21:01-20:59,1000.00000000,0.00,GBPMXN,500,100000.00,GBP,MXN
USDINR,83.159,0.1025,-0.83000,-0.24000,0.010,11.06196266,9214.30,UTC:02:01-19:59,1000.00000000,0.00,USDINR,10,100000.00,USD,INR
USDKRW,1359.01,0.610,-0.06000,-1.51000,0.10,6.77402830,9214.30,UTC:00:01-19:59,1000.00000000,0.00,USDKRW,10,100000.00,USD,KRW
USDCLP,903.61,0.910,-39.14000,0.63000,0.10,10.18216167,9214.30,UTC:12:51-16:09,1000.00000000,0.00,USDCLP,10,100000.00,USD,CLP
USDCOP,3912.08,6.650,-22.46000,5.90000,0.10,2.35024329,9214.38,UTC:14:01-16:49,1000.00000000,0.00,USDCOP,10,100000.00,USD,COP
USDTWD,32.094,0.0390,-0.14000,-0.39000,0.010,28.66202617,9214.38,UTC:00:11-18:59,1000.00000000,0.00,USDTWD,10,100000.00,USD,TWD
AUDDKK,4.56583,0.002938,-0.54000,-2.26000,0.00010,1.33984139,122.40,UTC:21:01-20:59,1000.00000000,0.00,AUDDKK,500,100000.00,AUD,DKK
AUDHUF,235.093,0.3486,-2.48000,0.19000,0.010,2.60032712,122.40,UTC:21:01-20:59,1000.00000000,0.00,AUDHUF,500,100000.00,AUD,HUF
AUDNOK,6.99458,0.004412,-2.29000,-0.94000,0.00010,0.87469167,122.40,UTC:21:01-20:59,1000.00000000,0.00,AUDNOK,500,100000.00,AUD,NOK
AUDPLN,2.60216,0.002305,-1.66000,0.68000,0.00010,2.35072320,122.40,UTC:21:01-20:59,1000.00000000,0.00,AUDPLN,500,100000.00,AUD,PLN
CADMXN,12.21157,0.003705,-28.93000,7.42000,0.00010,0.55210307,134.93,UTC:21:01-20:59,1000.00000000,0.00,CADMXN,500,100000.00,CAD,MXN
CADSGD,0.98759,0.000404,-0.01000,-0.66000,0.00010,6.82696378,134.93,UTC:21:01-20:59,1000.00000000,0.00,CADSGD,500,100000.00,CAD,SGD
CHFDKK,7.51885,0.003790,-6.63000,2.61000,0.00010,1.33984139,201.53,UTC:21:01-20:59,1000.00000000,0.00,CHFDKK,500,100000.00,CHF,DKK
CHFHUF,387.178,0.4589,-7.08000,3.29000,0.010,2.60032712,201.53,UTC:21:01-20:59,1000.00000000,0.00,CHFHUF,500,100000.00,CHF,HUF
CHFNOK,11.51828,0.005889,-12.71000,4.75000,0.00010,0.87469167,201.53,UTC:21:01-20:59,1000.00000000,0.00,CHFNOK,500,100000.00,CHF,NOK
CHFPLN,4.28514,0.002760,-6.24000,2.97000,0.00010,2.35072320,201.53,UTC:21:01-20:59,1000.00000000,0.00,CHFPLN,500,100000.00,CHF,PLN
CHFSEK,11.63225,0.005580,-10.16000,1.82000,0.00010,0.86615933,201.53,UTC:21:01-20:59,1000.00000000,0.00,CHFSEK,500,100000.00,CHF,SEK
EURCNH,7.87660,0.001374,-0.40000,-6.90000,0.00010,1.26935609,200.00,UTC:21:01-20:59,1000.00000000,0.00,EURCNH,500,100000.00,EUR,CNH
EURDKK,7.45993,0.003640,-1.19000,-2.63000,0.00010,1.33984139,200.00,UTC:21:01-20:59,1000.00000000,0.00,EURDKK,500,100000.00,EUR,DKK
GBPCNH,9.25129,0.001485,3.09000,-10.98000,0.00010,1.26935609,234.91,UTC:21:01-20:59,1000.00000000,0.00,GBPCNH,500,100000.00,GBP,CNH
